user_id,anime_id,rating,name,genre,type,episodes,members
72477,8438,-1,Pokemon Ranger: Hikari no Kiseki,"Adventure, Comedy, Fantasy, Kids",Special,2,4770
36205,25161,9,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,"Adventure, Comedy, Fantasy, Shounen",Special,1,30516
55258,11235,-1,Amagami SS+ Plus,"Comedy, Romance, School, Slice of Life",TV,13,73813
37948,15633,6,Code:Breaker OVA,"Action, Comedy, Ecchi, School, Shounen, Super Power, Supernatural",OVA,3,17814
58522,15609,4,"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito","Comedy, Ecchi, Harem, Romance, School, Seinen",OVA,1,21636
27035,5341,8,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,210491
12430,3655,9,Nabari no Ou,"Action, Comedy, Drama, Fantasy, Shounen, Supernatural",TV,26,107384
45659,16528,8,Hal,"Romance, Sci-Fi, Shoujo",Movie,1,50812
61501,10379,9,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,102322
46469,16866,-1,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,"Comedy, Historical, Romance, Shoujo",OVA,1,46837
26347,8795,10,Panty &amp; Stocking with Garterbelt,"Action, Comedy, Ecchi, Parody, Supernatural",TV,13,157642
48203,1818,9,Claymore,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",TV,26,316853
27351,269,-1,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",TV,366,624055
22334,33222,-1,Fudanshi Koukou Seikatsu,"Comedy, School, Shoujo, Slice of Life",TV,12,26360
11495,6401,-1,ef: A Tale of Melodies. - Prologue,Music,Special,1,13745
35417,1010,-1,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,"Action, Adventure, Comedy, Martial Arts, Shounen, Supernatural",Movie,1,9597
61430,849,8,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,428569
49832,5074,6,Tetsuwan Birdy Decode:02,"Action, Comedy, Sci-Fi",TV,12,29622
46077,121,9,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,600384
2480,10521,9,Working&#039;!!,"Comedy, Slice of Life",TV,13,117328
72947,30137,5,Big Order,"Action, Shounen, Super Power",OVA,1,17237
32234,30,10,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,461946
51092,934,9,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,359494
62478,5081,8,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,482268
57327,4970,-1,Afro Samurai: Resurrection,"Action, Adventure, Samurai",Movie,1,51064
21748,21541,7,Hentai Ouji to Warawanai Neko.: Henneko BBS,Comedy,Special,13,15586
32567,889,8,Black Lagoon,"Action, Seinen",TV,12,332562
35635,16916,9,Kuroko no Basket: Tip Off,"Comedy, School, Shounen, Sports",Special,1,41760
58656,3927,-1,Mobile Suit Gundam 00 Second Season,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,86972
41832,7724,-1,Shiki,"Mystery, Supernatural, Thriller, Vampire",TV,22,251093
45477,1121,9,Pokemon Advanced Generation: Nanayo no Negaiboshi Jirachi,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,43444
19399,68,-1,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",TV,23,150512
39223,7054,8,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,391628
61115,10417,9,Gyo,Horror,OVA,1,27005
49418,20057,7,Space☆Dandy,"Comedy, Sci-Fi, Space",TV,13,123529
55319,2596,7,Shinreigari: Ghost Hound,"Mystery, Psychological, Sci-Fi, Supernatural",TV,22,78469
32859,11757,-1,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,893100
27678,6046,9,Tales of Vesperia: The First Strike,"Action, Adventure, Fantasy, Magic, Military",Movie,1,30524
33643,27633,-1,Gekkan Shoujo Nozaki-kun Specials,"Comedy, Romance, School",Special,6,52672
53793,6956,8,Working!!,"Comedy, Slice of Life",TV,13,189367
31478,849,9,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,428569
65497,21653,4,IS: Infinite Stratos 2 - World Purge-hen,"Action, Comedy, Harem, Mecha, Sci-Fi",OVA,1,28626
45649,29786,-1,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Comedy, Ecchi, School",TV,12,193822
72325,10620,9,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,657190
63976,185,-1,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,26,68128
20742,12189,9,Hyouka,"Mystery, School, Slice of Life",TV,22,372246
43668,7465,-1,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1,66376
51559,11979,9,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,85361
60407,17909,9,Uchouten Kazoku,"Comedy, Drama, Fantasy, Slice of Life",TV,13,64897
43599,12477,9,Sakasama no Patema,"Sci-Fi, Seinen",Movie,1,89749
35856,14741,10,Chuunibyou demo Koi ga Shitai!,"Comedy, Drama, Romance, School, Slice of Life",TV,12,394399
66780,995,9,Prince of Tennis: The National Tournament,"Action, Comedy, Shounen, Sports",OVA,13,25170
24098,10397,8,Mashiro-iro Symphony: The Color of Lovers,"Drama, Harem, Romance, School",TV,12,77284
33833,874,-1,Digimon Tamers,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,51,94391
24434,7311,6,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,240297
7070,6330,7,Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako!,"Comedy, Fantasy, Supernatural",Special,8,10284
6769,22759,7,Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,Comedy,OVA,1,13119
3414,781,8,Detective Conan Movie 03: The Last Wizard of the Century,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,26799
23343,12189,-1,Hyouka,"Mystery, School, Slice of Life",TV,22,372246
38933,5680,-1,K-On!,"Comedy, Music, School, Slice of Life",TV,13,386048
24706,4938,-1,Tsubasa: Shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,2,40420
55310,1895,-1,Ai wa Kagi no Kazu dake... Fuuzoku Mansion,Hentai,OVA,1,2181
63598,21085,6,Witch Craft Works,"Action, Fantasy, Magic, Seinen, Supernatural",TV,12,106381
896,1060,9,Oruchuban Ebichu,"Comedy, Ecchi, Seinen",TV,24,21109
30595,603,5,Futari wa Precure,"Action, Comedy, Fantasy, Magic, Shoujo",TV,49,17671
10931,1727,5,Shinkyoku Soukai Polyphonica,"Drama, Fantasy, Music, Romance, School",TV,12,22282
5011,226,7,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13,623511
21510,9308,-1,Oni Chichi 2,Hentai,OVA,2,11092
18355,11757,9,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,893100
65005,10715,8,Towa no Quon 4: Guren no Shoushin,"Action, Super Power, Supernatural",Movie,1,18545
11097,15417,10,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,81109
43529,1384,8,Kyuuketsuhime Miyu,"Action, Demons, Drama, Horror, Vampire",OVA,4,11019
58785,578,8,Hotaru no Haka,"Drama, Historical",Movie,1,174878
18193,12531,8,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,146592
40611,156,9,X,"Action, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,24,51004
58180,1592,8,Hataraki Man,"Comedy, Drama, Romance, Seinen, Slice of Life",TV,11,13681
68568,372,9,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,60637
8706,2666,8,Doraemon Movie 10: Nobita no Nippon Tanjou,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,1176
50685,998,8,Blue Seed,"Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi",TV,26,15194
58219,3266,6,Ai Yori Aoshi: Enishi - Miyuki,"Comedy, Drama, Romance",Special,1,12647
42148,20507,10,Noragami,"Action, Adventure, Shounen, Supernatural",TV,12,515378
39009,4726,8,Druaga no Tou: The Sword of Uruk,"Adventure, Fantasy",TV,12,46237
43308,1686,10,Bleach Movie 1: Memories of Nobody,"Action, Adventure, Super Power",Movie,1,151598
12344,4186,8,Chrome Shelled Regios,"Action, Adventure, Fantasy, School, Sci-Fi",TV,24,103615
11740,530,5,Bishoujo Senshi Sailor Moon,"Demons, Magic, Romance, Shoujo",TV,46,146521
37703,1818,8,Claymore,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",TV,26,316853
70967,28701,9,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,205987
30680,9919,9,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,583823
28198,10156,-1,Sacred Seven,"Action, School, Sci-Fi, Super Power",TV,12,47136
44175,3056,-1,Natural,Hentai,OVA,2,1084
9083,7465,7,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1,66376
23753,10719,-1,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",TV,12,325664
40320,512,9,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,152331
6734,1375,9,Watashi no Ashinaga Ojisan,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",TV,40,5600
58438,16009,7,Kamisama no Inai Nichiyoubi,"Fantasy, Mystery",TV,12,122031
41315,3782,-1,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,114415
42576,5680,8,K-On!,"Comedy, Music, School, Slice of Life",TV,13,386048
29827,528,9,Pokemon: Mewtwo no Gyakushuu,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,100089
24080,23199,-1,Durarara!!x2 Shou,"Action, Mystery, Supernatural",TV,12,189407
58793,6045,9,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,309339
39121,30206,-1,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Comedy,Special,1,30342
72120,24415,9,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,184525
19152,9756,10,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,462974
28524,2904,-1,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,572888
53493,469,9,Karin,"Comedy, Romance, School, Shounen, Vampire",TV,24,106142
39408,21185,8,Baby Steps,"Romance, School, Shounen, Sports",TV,25,59818
59141,419,8,Samurai Deeper Kyou,"Adventure, Comedy, Historical, Shounen, Supernatural",TV,26,38580
24316,7311,10,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,240297
42002,16866,7,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,"Comedy, Historical, Romance, Shoujo",OVA,1,46837
45248,18507,7,Free!,"Comedy, School, Slice of Life, Sports",TV,12,265791
40795,121,9,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,600384
45715,530,6,Bishoujo Senshi Sailor Moon,"Demons, Magic, Romance, Shoujo",TV,46,146521
452,11757,-1,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,893100
48433,4898,10,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,24,424919
24521,2904,10,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,572888
28053,325,9,Peach Girl,"Drama, Romance, Shoujo, Slice of Life",TV,25,49508
10858,22319,9,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,618056
54131,227,7,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,305165
5294,93,7,Mobile Suit Gundam Seed,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,96973
37406,1840,5,Zero no Tsukaima: Futatsuki no Kishi,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,235684
40959,14833,8,Maoyuu Maou Yuusha,"Adventure, Demons, Fantasy, Historical, Romance",TV,12,164445
26858,5300,8,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,114173
64527,13601,9,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,509109
26804,27631,8,God Eater,"Action, Fantasy, Military, Sci-Fi",TV,13,192433
12968,8525,8,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,284846
58840,861,7,xxxHOLiC,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,24,150872
26312,15729,-1,Hagure Yuusha no Aesthetica: Hajirai Ippai,"Comedy, Ecchi",Special,6,19407
5399,263,9,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,157670
65703,24405,7,World Trigger,"Action, School, Sci-Fi, Shounen, Supernatural",TV,73,106872
43376,99,8,Mai-Otome,"Comedy, Drama, Fantasy, Magic",TV,26,36924
36384,10087,10,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,453630
11123,368,7,Bible Black,Hentai,OVA,6,31309
1020,21881,10,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,24,537892
30715,492,6,Armitage III: Dual-Matrix,"Action, Adventure, Mecha, Sci-Fi",Movie,1,11524
40344,11771,10,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,338315
25114,962,9,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,39596
59879,83,6,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,"Drama, Mecha, Military, Romance, Sci-Fi",Movie,1,8078
70699,4382,5,Suzumiya Haruhi no Yuuutsu (2009),"Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life",TV,14,243448
53748,30,10,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,461946
58104,389,10,Karas,"Action, Fantasy, Sci-Fi",OVA,6,44108
12760,223,7,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,316102
49408,423,8,Stratos 4 Advance,"Comedy, Military, Sci-Fi, Shounen",OVA,6,2448
40267,31338,5,Hundred,"Action, Ecchi, Harem, Mecha, Romance, School, Sci-Fi",TV,12,92396
58999,24893,8,Sidonia no Kishi: Daikyuu Wakusei Seneki,"Action, Mecha, Sci-Fi, Seinen, Space",TV,12,57665
27445,1132,8,Digimon Frontier,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",TV,50,74929
19077,4752,-1,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,198492
21825,23317,-1,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,67261
32091,1535,10,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,1013917
18724,9760,10,Hoshi wo Ou Kodomo,"Adventure, Fantasy, Romance",Movie,1,76286
45875,4477,10,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,70822
50815,2993,6,Rosario to Vampire,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Shounen, Vampire",TV,13,299278
16935,9934,-1,Nekogami Yaoyorozu,"Comedy, Seinen, Slice of Life, Supernatural",TV,12,12486
23469,31904,7,Big Order (TV),"Action, Shounen, Super Power",TV,10,84079
56960,6127,6,Toradora!: SOS!,Comedy,Special,4,54096
35199,195,7,Onegai☆Teacher,"Comedy, Drama, Romance, School, Sci-Fi",TV,12,99558
18310,9124,-1,Ookiku Furikabutte: Natsu no Taikai-hen Special,"Comedy, Sports",Special,1,4786
63686,13561,8,Guilty Crown: 4-koma Gekijou,Comedy,Special,11,13053
4241,14527,7,Medaka Box Abnormal,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,12,66972
25652,239,9,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,103828
67359,47,6,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,215897
17643,19815,8,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,602291
46822,28825,-1,Himouto! Umaru-chan,"Comedy, School, Seinen, Slice of Life",TV,12,158041
67764,857,9,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",TV,25,194611
10908,2131,9,Bokusatsu Tenshi Dokuro-chan 2,"Comedy, Ecchi, Magic",OVA,2,70734
41349,16742,6,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Comedy, School, Shounen, Slice of Life",TV,12,257925
58400,788,7,Eiken: Eikenbu yori Ai wo Komete,"Comedy, Ecchi, Harem, School",OVA,2,15764
34970,5958,5,Sora no Otoshimono,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,13,227681
20170,395,10,Gantz 2nd Stage,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13,87240
6822,5690,9,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,67697
39238,20787,7,Black Bullet,"Action, Mystery, Sci-Fi, Seinen",TV,13,320267
17491,356,6,Fate/stay night,"Action, Fantasy, Magic, Romance, Supernatural",TV,24,374880
22437,15437,7,Kore wa Zombie Desu ka? of the Dead OVA,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",OVA,1,54828
29220,3785,10,Evangelion: 3.0 You Can (Not) Redo,"Action, Mecha, Sci-Fi",Movie,1,135318
16527,4155,-1,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,85020
73190,205,8,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,390076
46254,6372,8,Higashi no Eden Movie I: The King of Eden,"Comedy, Drama, Mystery, Romance, Slice of Life, Thriller",Movie,1,101734
25374,8630,7,Hidan no Aria,"Action, Comedy, Romance, School",TV,12,171888
61294,1698,9,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,157025
25020,71,7,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24,256325
58077,6372,9,Higashi no Eden Movie I: The King of Eden,"Comedy, Drama, Mystery, Romance, Slice of Life, Thriller",Movie,1,101734
10762,902,-1,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,51083
46418,8525,8,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,284846
29174,68,9,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",TV,23,150512
54190,6547,8,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,717796
49480,48,8,.hack//Sign,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",TV,26,110304
63214,6547,9,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,717796
71896,26057,7,Fate/kaleid liner Prisma☆Illya 2wei! OVA,"Comedy, Ecchi, Fantasy, Magic",OVA,1,14351
62147,16051,7,Ro-Kyu-Bu! SS,"Comedy, Ecchi, School, Sports",TV,12,21125
17739,9760,8,Hoshi wo Ou Kodomo,"Adventure, Fantasy, Romance",Movie,1,76286
51290,2904,9,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,572888
66142,343,5,Tsukuyomi: Moon Phase,"Comedy, Fantasy, Romance, Seinen, Vampire",TV,25,44874
60721,920,7,Nurse Witch Komugi-chan Magikarte Special,"Comedy, Magic, Parody",Special,1,3397
29794,1978,6,Onkyo Seimeitai Noiseman,"Action, Fantasy, Sci-Fi",Movie,1,5295
31649,27633,10,Gekkan Shoujo Nozaki-kun Specials,"Comedy, Romance, School",Special,6,52672
36465,30205,6,Aoharu x Kikanjuu,"Action, Comedy, Shounen, Sports",TV,12,97674
22798,1566,8,Ghost in the Shell: Stand Alone Complex - Solid State Society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,1,55247
51888,5150,-1,Hatsukoi Limited,"Comedy, Romance, School, Shounen",TV,12,54796
4130,13599,7,Robotics;Notes,"Drama, Mystery, School, Sci-Fi",TV,22,107304
60846,1117,-1,Pokemon: Maboroshi no Pokemon Lugia Bakutan,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,78876
5163,3572,7,Macross F,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,25,95551
57346,9919,8,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,583823
57189,31098,7,Ushio to Tora (TV) 2nd Season,"Comedy, Demons, Shounen, Supernatural",TV,13,43916
71807,5909,6,Seitokai no Ichizon,"Comedy, Harem, Parody, School",TV,12,110470
25528,7512,-1,Dambo,"Fantasy, Music",Music,1,316
65193,17265,-1,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,387100
64165,5680,6,K-On!,"Comedy, Music, School, Slice of Life",TV,13,386048
67117,6045,8,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,309339
32538,19151,-1,Walkure Romanze,"Action, Ecchi, Harem, Romance, School, Sports",TV,12,56131
8058,461,5,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1,36558
33000,12967,7,Arcana Famiglia,"Action, Harem, Romance, Shoujo",TV,12,106391
51807,91,8,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,28485
